date,time,location_X,location_Y,lat,lon,mag,place,type
2021-11-13,16:12:23,245635.23519606597,588797.5051358275,53.278,6.746,0.9,Ten Post,induced earthquake
2021-11-13,09:09:44,245415.28272771544,596919.6507021931,53.351,6.745,1,Zeerijp,induced earthquake
2021-11-10,04:24:27,245520.31497644796,601931.1012638102,53.396,6.748,0.9,Oldenzijl,induced earthquake
2021-11-08,01:52:16,242724.0065171055,594754.5666207429,53.332,6.704,1.7,Westeremden,induced earthquake
2021-11-05,22:38:26,244137.6461612888,583203.6741247065,53.228,6.722,1.1,Scharmer,induced earthquake
2021-11-04,04:43:44,246790.6724401497,580693.3123274702,53.205,6.761,0.3,Froombosch,induced earthquake
2021-10-31,21:36:42,245911.7962342456,591808.3311193328,53.305,6.751,0.7,Garrelsweer,induced earthquake
2021-10-27,09:13:39,245017.86720293737,596800.8474647383,53.35,6.739,0.4,Zeerijp,induced earthquake
2021-10-27,00:28:00,242626.2497881279,600096.0993140382,53.38,6.704,0.5,Eppenhuizen,induced earthquake
2021-10-22,21:11:20,245492.374239146,596364.5037346226,53.346,6.746,0.8,Zeerijp,induced earthquake
2021-10-18,16:56:55,240952.4576137023,589490.6080206666,53.285,6.676,1.1,Sint Annen,induced earthquake
2021-10-15,15:04:21,244853.38047697823,598467.5671520679,53.365,6.737,1.1,Zeerijp,induced earthquake
2021-10-07,11:53:20,245548.45135136085,596922.1655155944,53.351,6.747,0.6,Zeerijp,induced earthquake
2021-10-06,18:57:56,245488.17140637743,596587.0651837578,53.348,6.746,1.3,Zeerijp,induced earthquake
2021-10-04,20:47:42,245483.96851415315,596809.6267868935,53.35,6.746,2.2,Zeerijp,induced earthquake
2021-10-04,13:33:45,251117.5639726406,591575.8293454914,53.302,6.829,1.8,Appingedam,induced earthquake
2021-10-04,02:59:08,245552.6573661226,596699.6038769169,53.349,6.747,2.5,Zeerijp,induced earthquake
2021-09-29,22:20:33,249666.42749294423,590767.7341045719,53.295,6.807,0.8,Overschild,induced earthquake
2021-09-20,20:51:08,258235.98357451096,589274.5348959264,53.28,6.935,1.2,Meedhuizen,induced earthquake
2021-09-18,19:07:38,245623.4538001527,596478.3012699999,53.347,6.748,0.9,Zeerijp,induced earthquake
2021-09-14,01:26:52,256791.1340314278,594475.9823211054,53.327,6.915,0.4,Delfzijl,induced earthquake
2021-09-05,11:44:13,246117.0848773072,595040.4955843586,53.334,6.755,0.3,Loppersum,induced earthquake
2021-08-26,21:19:42,249431.3702828377,592544.2382143156,53.311,6.804,0.9,Wirdum,induced earthquake
